"第1周" "第2周" "第3周" "第4周" "第5周" "第6周" "第7周" "第8周" "第9周"
"P.52.3" 5 5 5 5 22 56 56 NA NA
"P.52.4" 4 5 5 6 14 30 63 67 NA
"P.52.5" 3 4 4 5 13 24 32 30 NA
"P.52.6" 3 4 5 5 11 18 40 52 NA
"P.52.7" 4 4 6 6 18 32 60 77 NA
"P.52.8" 5 5 6 6 15 33 35 NA NA
"P.52.9" 4 4 5 6 14 24 52 65 NA
"P.52.10" 5 6 9 9 37 48 66 70 NA
"P.53.1" 5 6 7 9 28 52 79 133 152
"P.53.2" 4 6 7 8 9 9 64 127 127
"P.53.3" 6 7 8 8 9 9 14 35 36
"P.53.4" 5 5 6 7 20 26 79 87 90
"P.53.5" 5 6 6 6 7 7 16 18 20
"P.53.6" 4 7 7 7 8 8 11 12 12
"P.53.7" 5 5 6 6 23 30 97 108 110
"P.53.8" 4 6 6 6 8 8 10 11 11
"P.53.9" 6 6 7 8 35 54 98 106 108
"P.53.10" 6 7 7 24 56 98 109 110 114
"P.54.1" 6 8 8 13 28 44 65 76 80
"P.54.2" 6 7 8 13 40 68 80 85 90
"P.54.3" 6 7 7 9 12 20 32 60 60
"P.54.4" 7 7 7 11 13 24 45 68 99
"P.54.5" 7 7 7 9 19 37 74 80 90
"P.54.6" 7 7 7 9 14 20 30 34 35
"P.54.7" 7 7 7 9 15 21 21 21 20
"P.54.8" 7 7 8 10 27 46 76 84 89
"P.54.9" 7 7 8 17 47 64 70 71 76
"P.54.10" 7 7 7 10 12 23 44 62 69
"P.55.1" 4 6 6 6 26 38 38 38 38
"P.55.2" 6 9 9 11 55 84 84 84 84
"P.55.3" 5 7 8 33 98 127 130 131 131
"P.55.4" 4 6 6 19 62 71 75 76 76
"P.55.5" 6 6 7 7 11 18 36 58 115
"P.55.6" 4 6 7 7 58 94 96 98 98
"P.55.7" 4 6 6 7 28 46 49 49 49
"P.55.8" 6 7 8 8 9 9 16 39 39
"P.55.9" 6 8 8 9 66 103 110 112 112
"P.55.10" 7 7 8 9 27 69 80 88 88
"P.56.1" 7 7 9 12 13 19 79 184 195
"P.56.2" 7 7 8 11 12 14 20 53 66
"P.56.3" 5 6 7 7 14 34 69 172 174
"P.56.4" 5 7 8 8 8 10 23 48 49
"P.56.5" 5 6 6 7 8 9 15 26 26
"P.56.6" 6 6 7 9 10 28 55 144 145
"P.56.7" 4 5 6 7 8 8 20 33 36
"P.56.8" 6 7 8 9 9 11 15 28 30
"P.56.9" 4 5 5 6 7 8 9 10 10
"P.56.10" 5 6 7 8 21 73 104 209 215
"P.57.1" 6 7 8 8 9 9 10 13 13
"P.57.2" 5 6 6 6 7 8 9 9 9
"P.57.3" 4 6 8 9 10 10 10 10 10
"P.57.4" 6 7 7 8 8 8 8 8 8
"P.57.5" 4 6 6 7 8 9 9 10 10
"P.57.6" 6 7 7 7 9 9 9 10 10
"P.57.7" 6 7 7 7 7 7 7 7 8
"P.57.8" 5 6 6 7 8 8 8 8 8
"P.57.9" 6 6 6 7 8 9 9 10 10
"P.57.10" 6 6 6 8 9 9 9 10 10
"P.58.1" 4 5 6 8 9 9 15 40 41
"P.58.2" 5 5 6 6 7 12 16 37 44
"P.58.3" 5 6 6 7 9 16 21 43 45
"P.58.4" 5 5 6 6 7 31 84 153 159
"P.58.5" 5 5 6 6 7 9 12 33 33
"P.58.6" 6 6 6 7 8 11 13 28 28
"P.58.7" 5 5 5 6 7 45 75 133 150
"P.58.8" 5 6 6 6 7 30 77 130 140
"P.58.9" 6 6 6 7 8 8 15 23 25
"P.58.10" 5 5 5 7 8 20 39 85 88
"P.61.1" 5 6 7 7 8 10 18 34 37
"P.61.2" 4 6 6 8 8 12 31 50 52
"P.61.3" 4 6 7 7 9 14 27 50 46
"P.61.4" 5 7 7 7 9 10 21 43 50
"P.61.5" 4 6 7 8 8 8 8 8 8
"P.61.6" 3 4 5 5 6 7 7 8 8
"P.61.7" 5 6 7 7 8 8 9 10 10
"P.61.8" 7 7 8 8 9 10 20 23 24
"P.61.9" 6 7 7 7 7 7 8 8 8
"P.61.10" 3 5 5 6 7 9 21 31 36
"P.62.1" 7 8 8 8 9 10 11 12 49
"P.62.2" 5 7 8 8 8 10 11 12 19
"P.62.3" 4 8 8 8 8 10 17 20 20
"P.62.4" 4 7 7 7 8 10 10 15 47
"P.62.5" 5 7 7 7 8 10 26 33 74
"P.62.6" 6 7 7 7 8 9 9 9 9
"P.62.7" 7 8 9 10 11 12 29 50 50
"P.62.8" 6 8 8 10 13 14 73 102 102
"P.62.9" 5 6 7 8 9 10 10 10 10
"P.62.10" 4 5 5 6 6 8 8 8 13
"P.63.1" 6 7 8 9 9 10 11 NA NA
"P.63.2" 5 6 6 7 7 7 7 NA NA
"P.63.3" 4 5 6 8 8 9 10 NA NA
"P.63.4" 6 8 8 12 14 14 14 NA NA
"P.63.5" 6 8 8 9 14 21 21 NA NA
"P.63.6" 3 4 5 6 6 6 6 NA NA
"P.63.7" 5 5 5 6 7 7 7 NA NA
"P.63.8" 5 5 6 7 8 8 8 NA NA
"P.63.9" 4 5 5 8 8 8 8 NA NA
"P.63.10" 6 7 8 9 9 10 10 10 NA
"P.64.1" 6 7 7 7 7 7 7 7 NA
"P.64.2" 7 7 8 8 8 8 8 8 NA
"P.64.3" 5 8 8 8 8 9 9 9 NA
"P.64.4" 5 6 6 6 6 6 6 6 NA
"P.64.5" 5 5 7 7 7 7 7 7 NA
"P.64.6" 6 6 7 8 21 25 25 25 NA
"P.64.7" 7 7 8 9 10 10 10 10 NA
"P.64.8" 6 8 9 9 9 10 10 10 NA
"P.64.9" 5 6 7 7 8 9 9 9 NA
"P.64.10" 6 7 7 8 8 8 9 9 NA
"P.65.1" 5 5 7 7 12 28 28 NA NA
"P.65.2" 5 5 6 8 16 46 50 NA NA
"P.65.3" 6 6 7 7 7 11 12 NA NA
"P.65.4" 6 7 7 8 10 19 33 NA NA
"P.65.5" 5 5 6 7 11 18 28 NA NA
"P.65.6" 5 6 7 9 24 45 64 NA NA
"P.65.7" 7 7 8 8 19 28 37 NA NA
"P.65.8" 7 7 7 8 8 9 9 NA NA
"P.65.9" 6 6 8 8 14 19 20 NA NA
"P.65.10" 5 6 7 7 12 22 23 NA NA
"P.66.1" 6 6 7 8 8 9 9 NA NA
"P.66.2" 5 6 7 8 8 10 14 NA NA
"P.66.3" 5 6 6 7 7 8 12 NA NA
"P.66.4" 6 6 6 6 8 8 10 NA NA
"P.66.5" 7 7 7 7 16 20 20 NA NA
"P.66.6" 7 8 9 11 11 11 11 NA NA
"P.66.7" 4 5 6 7 7 7 7 NA NA
"P.66.8" 7 8 9 10 17 20 21 NA NA
"P.66.9" 7 8 9 10 10 10 10 NA NA
"P.66.10" 6 7 8 10 10 10 10 NA NA
"P.67.1" 6 6 7 7 7 8 11 NA NA
"P.67.2" 6 6 8 10 10 11 11 NA NA
"P.67.3" 4 6 7 8 9 9 9 NA NA
"P.67.4" 4 6 6 8 8 9 9 NA NA
"P.67.5" 4 6 7 7 7 7 8 NA NA
"P.67.6" 7 8 8 8 8 9 10 NA NA
"P.67.7" 7 8 8 8 9 9 10 NA NA
"P.67.8" 6 7 8 9 9 9 10 NA NA
"P.67.9" 5 7 7 8 8 9 9 NA NA
"P.67.10" 5 6 7 8 8 9 9 NA NA
"P.68.1" 8 10 11 12 37 52 61 NA NA
"P.68.2" 7 8 9 9 10 13 14 NA NA
"P.68.3" 5 7 7 8 8 10 12 NA NA
"P.68.4" 4 5 6 7 8 10 12 NA NA
